Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
135,1,0.0829,3.9329e+01,2.5621e+01,0.58,1.2928e+00,78.84,1.2735e-01,2.02,0.2
136,1,0.0826,4.1045e+01,2.6677e+01,0.58,1.4364e+00,82.49,1.3066e-01,2.04,0.2
137,1,0.0828,3.5832e+01,2.4486e+01,0.57,1.0610e+00,78.84,1.1816e-01,1.99,0.2
138,1,0.0828,3.4970e+01,2.4814e+01,0.57,1.2637e+00,80.44,1.1397e-01,1.95,0.2
139,1,0.0831,3.5693e+01,2.5417e+01,0.57,1.1918e+00,80.46,1.1526e-01,1.96,0.2
140,1,0.0830,3.5725e+01,2.6252e+01,0.58,1.1745e+00,83.83,1.2259e-01,2.01,0.2
141,1,0.0826,3.3994e+01,2.4685e+01,0.56,1.1208e+00,81.63,1.1739e-01,1.99,0.2
142,1,0.0823,3.5622e+01,2.5683e+01,0.57,1.0968e+00,80.80,1.1755e-01,1.98,0.2
143,1,0.0827,3.4665e+01,2.4932e+01,0.57,1.1561e+00,80.29,1.1733e-01,1.97,0.2
144,1,0.0827,4.0769e+01,2.7867e+01,0.59,1.1799e+00,80.28,1.2063e-01,1.99,0.2
145,1,0.0828,3.3556e+01,2.3668e+01,0.56,9.7999e-01,79.72,1.1395e-01,1.97,0.2
146,1,0.0824,3.5663e+01,2.5020e+01,0.57,1.1021e+00,81.92,1.1843e-01,1.99,0.2
147,1,0.0821,3.4600e+01,2.4605e+01,0.57,1.0515e+00,80.63,1.1636e-01,1.99,0.2
148,1,0.0827,3.4592e+01,2.4512e+01,0.57,1.0787e+00,80.57,1.1658e-01,1.97,0.2
149,1,0.0825,3.6413e+01,2.6749e+01,0.59,1.1818e+00,82.07,1.1930e-01,2.01,0.2
150,1,0.0830,3.4787e+01,2.5362e+01,0.58,1.2712e+00,77.60,1.1658e-01,1.98,0.2
151,1,0.0826,3.5870e+01,2.5347e+01,0.57,1.3744e+00,82.60,1.1742e-01,1.96,0.2
152,1,0.0826,3.5101e+01,2.4586e+01,0.56,1.1897e+00,80.63,1.1518e-01,1.94,0.2
153,1,0.0828,3.6193e+01,2.5255e+01,0.58,1.3419e+00,79.56,1.1993e-01,1.99,0.1
154,1,0.0831,3.2939e+01,2.3448e+01,0.56,1.1583e+00,80.32,1.1291e-01,1.95,0.2
155,1,0.0827,3.2978e+01,2.3816e+01,0.55,1.0552e+00,79.52,1.1392e-01,1.95,0.2
156,1,0.0829,4.1568e+01,2.8843e+01,0.60,1.4231e+00,78.26,1.2582e-01,2.06,0.2
157,1,0.0822,3.3071e+01,2.3779e+01,0.56,1.0997e+00,79.84,1.1495e-01,1.99,0.2
158,1,0.0822,3.6576e+01,2.6218e+01,0.57,1.2820e+00,80.76,1.2119e-01,1.99,0.2
159,1,0.0824,3.3413e+01,2.3761e+01,0.55,1.1686e+00,80.03,1.1674e-01,1.96,0.2
160,1,0.0823,3.4915e+01,2.4925e+01,0.56,1.1513e+00,79.58,1.1930e-01,1.99,0.2
161,1,0.0822,3.4132e+01,2.4619e+01,0.56,1.0697e+00,78.77,1.1816e-01,1.99,0.2
162,1,0.0825,3.3324e+01,2.3942e+01,0.55,1.0451e+00,78.12,1.1621e-01,1.97,0.2
163,1,0.0828,3.3136e+01,2.4045e+01,0.56,1.1308e+00,79.62,1.1621e-01,1.97,0.2
164,1,0.0823,3.4181e+01,2.4814e+01,0.56,1.1183e+00,80.43,1.1759e-01,1.98,0.2
165,1,0.0822,3.3822e+01,2.4329e+01,0.56,1.0514e+00,80.57,1.1675e-01,1.95,0.2
166,1,0.0823,3.4153e+01,2.4500e+01,0.56,1.1914e+00,80.12,1.1932e-01,1.99,0.2
167,1,0.0818,3.3381e+01,2.3540e+01,0.55,1.1577e+00,80.10,1.1669e-01,1.98,0.2
168,1,0.0828,3.5536e+01,2.5427e+01,0.57,1.2590e+00,79.16,1.2247e-01,2.01,0.2
169,1,0.0826,3.3552e+01,2.4149e+01,0.55,1.1649e+00,79.47,1.1833e-01,1.99,0.2
170,1,0.0821,3.3281e+01,2.4093e+01,0.55,1.1528e+00,80.06,1.1730e-01,1.98,0.2
171,1,0.0822,3.5841e+01,2.5559e+01,0.57,1.2355e+00,79.69,1.2107e-01,1.99,0.1
172,1,0.0821,3.3184e+01,2.3867e+01,0.55,1.1232e+00,79.52,1.1615e-01,1.97,0.2
173,1,0.0822,3.3185e+01,2.3763e+01,0.55,1.0905e+00,79.52,1.1595e-01,1.96,0.2
174,1,0.0827,3.4784e+01,2.4705e+01,0.56,1.1367e+00,79.09,1.1948e-01,1.97,0.2
175,1,0.0817,3.4835e+01,2.4787e+01,0.56,1.1496e+00,79.00,1.1953e-01,1.97,0.2
176,1,0.0826,3.3570e+01,2.3776e+01,0.55,1.0661e+00,78.66,1.1592e-01,1.97,0.2
177,1,0.0826,3.3638e+01,2.4173e+01,0.56,1.1089e+00,78.05,1.1800e-01,1.96,0.2
178,1,0.0825,3.3090e+01,2.3869e+01,0.55,1.1102e+00,77.79,1.1683e-01,1.95,0.2
179,1,0.0824,3.2952e+01,2.3823e+01,0.55,1.1110e+00,77.98,1.1670e-01,1.95,0.2
