Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
128,1,0.0111,2.2328e+02,2.9570e+01,0.31,2.9600e+01,11425.53,1.8728e+02,2917.02,0.2
129,1,0.0175,2.1419e+02,2.1039e+01,0.24,2.9419e+01,11431.79,1.8433e+02,2895.35,0.2
130,1,0.0157,2.1899e+02,2.6122e+01,0.27,2.9478e+01,11428.41,1.8398e+02,2891.18,0.2
131,1,0.0120,2.1455e+02,2.0602e+01,0.26,2.9392e+01,11438.33,1.8441e+02,2895.66,0.2
132,1,0.0110,2.1042e+02,8.3759e+00,0.16,2.9287e+01,11428.21,1.8526e+02,2901.20,0.2
133,1,0.0088,2.1799e+02,2.2306e+01,0.25,2.9428e+01,11425.83,1.8675e+02,2911.19,0.2
134,1,0.0106,2.1470e+02,1.6078e+01,0.20,2.9411e+01,11437.25,1.8629e+02,2906.49,0.2
135,1,0.0113,2.1027e+02,7.2208e+00,0.15,2.9303e+01,11433.91,1.8533e+02,2899.23,0.2
136,1,0.0088,2.1026e+02,8.8037e+00,0.17,2.9300e+01,11430.31,1.8517e+02,2899.05,0.2
137,1,0.0068,2.1088e+02,7.7960e+00,0.16,2.9322e+01,11431.97,1.8570e+02,2903.80,0.2
138,1,0.0065,2.1093e+02,7.8035e+00,0.15,2.9307e+01,11430.76,1.8569e+02,2903.03,0.2
139,1,0.0069,2.1027e+02,7.6251e+00,0.15,2.9303e+01,11434.28,1.8529e+02,2900.16,0.2
140,1,0.0068,2.1099e+02,7.9436e+00,0.15,2.9315e+01,11431.16,1.8569e+02,2903.25,0.2
141,1,0.0062,2.1194e+02,1.0755e+01,0.17,2.9356e+01,11431.27,1.8596e+02,2905.30,0.2
142,1,0.0078,2.1024e+02,1.0002e+01,0.18,2.9297e+01,11436.26,1.8506e+02,2897.17,0.2
143,1,0.0082,2.1224e+02,1.1208e+01,0.17,2.9353e+01,11428.76,1.8596e+02,2904.91,0.2
144,1,0.0078,2.1032e+02,6.9434e+00,0.15,2.9325e+01,11432.80,1.8543e+02,2903.01,0.2
145,1,0.0066,2.1031e+02,7.5879e+00,0.15,2.9274e+01,11430.12,1.8532e+02,2898.72,0.2
146,1,0.0068,2.1037e+02,7.0205e+00,0.15,2.9362e+01,11434.75,1.8541e+02,2902.25,0.2
147,1,0.0060,2.1122e+02,9.0329e+00,0.16,2.9324e+01,11429.57,1.8585e+02,2905.45,0.2
148,1,0.0062,2.1141e+02,9.9778e+00,0.17,2.9354e+01,11432.60,1.8589e+02,2906.14,0.2
149,1,0.0067,2.1032e+02,7.1673e+00,0.14,2.9290e+01,11430.69,1.8538e+02,2900.90,0.2
150,1,0.0060,2.1089e+02,8.4277e+00,0.16,2.9351e+01,11430.86,1.8576e+02,2905.26,0.2
151,1,0.0060,2.1025e+02,7.9044e+00,0.16,2.9290e+01,11432.42,1.8522e+02,2899.09,0.2
152,1,0.0063,2.1037e+02,6.7134e+00,0.14,2.9319e+01,11433.75,1.8548e+02,2902.49,0.2
153,1,0.0063,2.1026e+02,8.4473e+00,0.16,2.9309e+01,11432.84,1.8513e+02,2896.98,0.2
154,1,0.0061,2.1029e+02,7.9244e+00,0.16,2.9313e+01,11435.96,1.8528e+02,2901.09,0.2
155,1,0.0062,2.1074e+02,7.7415e+00,0.15,2.9345e+01,11429.22,1.8571e+02,2904.60,0.2
156,1,0.0060,2.1065e+02,7.0981e+00,0.14,2.9325e+01,11429.64,1.8560e+02,2902.49,0.2
157,1,0.0059,2.1030e+02,6.9483e+00,0.14,2.9316e+01,11434.53,1.8537e+02,2901.91,0.2
158,1,0.0059,2.1030e+02,6.8641e+00,0.14,2.9317e+01,11432.58,1.8533e+02,2900.75,0.2
159,1,0.0058,2.1050e+02,6.6958e+00,0.14,2.9293e+01,11429.52,1.8550e+02,2901.38,0.2
160,1,0.0057,2.1029e+02,7.6481e+00,0.15,2.9317e+01,11431.98,1.8527e+02,2901.24,0.2
161,1,0.0061,2.1038e+02,6.3749e+00,0.14,2.9329e+01,11431.32,1.8544e+02,2901.56,0.2
162,1,0.0061,2.1030e+02,7.0499e+00,0.15,2.9297e+01,11433.26,1.8538e+02,2900.52,0.2
163,1,0.0069,2.1124e+02,8.4915e+00,0.15,2.9337e+01,11433.89,1.8575e+02,2902.90,0.2
164,1,0.0058,2.1116e+02,8.9310e+00,0.16,2.9359e+01,11433.97,1.8584e+02,2905.56,0.2
165,1,0.0073,2.1027e+02,7.7748e+00,0.15,2.9305e+01,11431.78,1.8521e+02,2899.48,0.2
166,1,0.0065,2.1074e+02,7.1084e+00,0.15,2.9303e+01,11433.21,1.8558e+02,2901.04,0.2
167,1,0.0085,2.1026e+02,7.6082e+00,0.15,2.9299e+01,11439.36,1.8530e+02,2899.87,0.2
168,1,0.0081,2.1189e+02,1.0448e+01,0.16,2.9345e+01,11430.27,1.8590e+02,2904.31,0.2
169,1,0.0069,2.1030e+02,6.5157e+00,0.14,2.9331e+01,11433.47,1.8537e+02,2901.14,0.2
170,1,0.0072,2.1208e+02,1.1641e+01,0.17,2.9354e+01,11428.06,1.8606e+02,2907.53,0.2
171,1,0.0085,2.1076e+02,1.2098e+01,0.18,2.9315e+01,11436.40,1.8487e+02,2896.56,0.2
172,1,0.0081,2.1144e+02,9.1887e+00,0.15,2.9340e+01,11433.45,1.8580e+02,2903.57,0.2
173,1,0.0056,2.1045e+02,6.3313e+00,0.14,2.9330e+01,11435.66,1.8552e+02,2902.42,0.2
174,1,0.0053,2.1051e+02,6.4486e+00,0.14,2.9308e+01,11431.56,1.8555e+02,2902.42,0.2
175,1,0.0055,2.1025e+02,6.9881e+00,0.14,2.9322e+01,11434.32,1.8529e+02,2900.45,0.2
176,1,0.0057,2.1067e+02,7.2667e+00,0.14,2.9345e+01,11432.71,1.8566e+02,2904.28,0.2
177,1,0.0057,2.1057e+02,6.6705e+00,0.14,2.9314e+01,11432.04,1.8560e+02,2903.35,0.2
178,1,0.0055,2.1041e+02,6.2357e+00,0.13,2.9335e+01,11433.97,1.8548e+02,2901.80,0.2
179,1,0.0057,2.1034e+02,7.4949e+00,0.14,2.9329e+01,11434.56,1.8524e+02,2900.60,0.2
180,1,0.0060,2.1064e+02,7.1115e+00,0.14,2.9329e+01,11432.12,1.8565e+02,2904.25,0.2
181,1,0.0062,2.1170e+02,1.0869e+01,0.17,2.9366e+01,11432.36,1.8600e+02,2907.34,0.2
182,1,0.0064,2.1049e+02,6.2781e+00,0.13,2.9317e+01,11432.24,1.8551e+02,2901.82,0.2
183,1,0.0062,2.1050e+02,8.8860e+00,0.15,2.9345e+01,11436.94,1.8513e+02,2899.85,0.2
184,1,0.0064,2.1031e+02,7.9509e+00,0.15,2.9305e+01,11433.42,1.8517e+02,2898.95,0.2
185,1,0.0061,2.1069e+02,7.2564e+00,0.14,2.9343e+01,11433.65,1.8566e+02,2904.03,0.2
186,1,0.0056,2.1036e+02,6.4872e+00,0.13,2.9314e+01,11433.64,1.8545e+02,2902.35,0.2
187,1,0.0056,2.1049e+02,6.3731e+00,0.13,2.9327e+01,11432.81,1.8553e+02,2902.09,0.2
188,1,0.0054,2.1038e+02,6.1202e+00,0.13,2.9324e+01,11434.17,1.8545e+02,2901.61,0.2
189,1,0.0060,2.1026e+02,7.6226e+00,0.14,2.9296e+01,11434.35,1.8522e+02,2899.43,0.2
190,1,0.0063,2.1123e+02,9.1188e+00,0.15,2.9352e+01,11433.25,1.8587e+02,2905.84,0.2
191,1,0.0065,2.1066e+02,7.0149e+00,0.14,2.9325e+01,11432.46,1.8563e+02,2903.58,0.2
192,1,0.0055,2.1032e+02,6.2832e+00,0.13,2.9316e+01,11434.20,1.8540e+02,2900.61,0.2
193,1,0.0053,2.1054e+02,6.5874e+00,0.14,2.9339e+01,11434.90,1.8559e+02,2903.45,0.2
194,1,0.0054,2.1057e+02,6.4716e+00,0.13,2.9314e+01,11432.10,1.8558e+02,2902.89,0.2
195,1,0.0053,2.1049e+02,6.2492e+00,0.13,2.9325e+01,11432.86,1.8553e+02,2902.06,0.2
196,1,0.0055,2.1032e+02,6.3395e+00,0.13,2.9318e+01,11434.90,1.8542e+02,2901.72,0.2
197,1,0.0058,2.1062e+02,6.6313e+00,0.13,2.9328e+01,11432.45,1.8559e+02,2902.83,0.2
198,1,0.0052,2.1032e+02,6.1693e+00,0.13,2.9323e+01,11433.66,1.8542e+02,2901.69,0.2
199,1,0.0054,2.1039e+02,6.1002e+00,0.13,2.9325e+01,11433.26,1.8548e+02,2902.19,0.2
200,1,0.0051,2.1073e+02,7.0314e+00,0.14,2.9320e+01,11433.80,1.8567e+02,2903.99,0.2
201,1,0.0053,2.1050e+02,6.3160e+00,0.13,2.9329e+01,11433.03,1.8553e+02,2902.02,0.2
202,1,0.0052,2.1030e+02,7.4912e+00,0.14,2.9316e+01,11435.01,1.8522e+02,2899.95,0.2
203,1,0.0056,2.1078e+02,7.5142e+00,0.14,2.9346e+01,11433.74,1.8571e+02,2904.40,0.2
204,1,0.0055,2.1031e+02,6.3620e+00,0.13,2.9316e+01,11433.93,1.8540e+02,2901.61,0.2
205,1,0.0057,2.1067e+02,7.2932e+00,0.14,2.9345e+01,11432.77,1.8567e+02,2904.59,0.2
206,1,0.0059,2.1033e+02,6.1998e+00,0.13,2.9317e+01,11432.75,1.8540e+02,2901.22,0.2
207,1,0.0057,2.1028e+02,6.7361e+00,0.13,2.9302e+01,11434.96,1.8534e+02,2900.93,0.2
208,1,0.0058,2.1066e+02,6.8812e+00,0.13,2.9336e+01,11434.19,1.8564e+02,2903.62,0.2
209,1,0.0059,2.1033e+02,6.3029e+00,0.13,2.9329e+01,11434.27,1.8543e+02,2902.47,0.2
210,1,0.0052,2.1038e+02,6.1063e+00,0.13,2.9314e+01,11432.67,1.8547e+02,2901.87,0.2
211,1,0.0056,2.1027e+02,6.8795e+00,0.14,2.9332e+01,11434.74,1.8525e+02,2899.81,0.2
212,1,0.0058,2.1028e+02,6.8428e+00,0.13,2.9324e+01,11434.43,1.8527e+02,2900.35,0.2
213,1,0.0059,2.1112e+02,8.8475e+00,0.15,2.9356e+01,11432.86,1.8583e+02,2906.01,0.2
214,1,0.0062,2.1034e+02,6.4750e+00,0.13,2.9333e+01,11433.68,1.8531e+02,2900.68,0.2
215,1,0.0053,2.1030e+02,6.6215e+00,0.13,2.9320e+01,11434.59,1.8532e+02,2901.03,0.2
216,1,0.0053,2.1076e+02,7.2280e+00,0.13,2.9333e+01,11434.32,1.8568e+02,2903.86,0.2
217,1,0.0052,2.1046e+02,6.2485e+00,0.13,2.9333e+01,11434.61,1.8554e+02,2903.12,0.2
218,1,0.0053,2.1027e+02,6.7977e+00,0.13,2.9306e+01,11433.48,1.8529e+02,2900.08,0.2
219,1,0.0052,2.1055e+02,6.6064e+00,0.13,2.9337e+01,11434.48,1.8561e+02,2903.89,0.2
220,1,0.0052,2.1046e+02,6.0893e+00,0.13,2.9326e+01,11432.70,1.8552e+02,2902.46,0.2
221,1,0.0051,2.1041e+02,6.0976e+00,0.13,2.9313e+01,11434.22,1.8549e+02,2902.09,0.2
222,1,0.0053,2.1093e+02,7.7835e+00,0.14,2.9355e+01,11434.13,1.8572e+02,2904.13,0.2
223,1,0.0057,2.1033e+02,6.2498e+00,0.13,2.9312e+01,11433.44,1.8544e+02,2901.82,0.2
224,1,0.0064,2.1042e+02,8.7168e+00,0.14,2.9324e+01,11434.79,1.8509e+02,2898.36,0.2
225,1,0.0069,2.1050e+02,6.6720e+00,0.13,2.9360e+01,11435.61,1.8553e+02,2903.32,0.2
226,1,0.0055,2.1065e+02,6.6303e+00,0.13,2.9309e+01,11431.17,1.8561e+02,2902.63,0.2
227,1,0.0051,2.1038e+02,6.0048e+00,0.13,2.9337e+01,11437.28,1.8547e+02,2902.29,0.2
228,1,0.0050,2.1067e+02,6.5538e+00,0.13,2.9316e+01,11433.52,1.8561e+02,2902.64,0.2
229,1,0.0055,2.1046e+02,9.3268e+00,0.15,2.9328e+01,11436.80,1.8505e+02,2897.89,0.2
230,1,0.0060,2.1054e+02,6.4383e+00,0.13,2.9340e+01,11435.33,1.8557e+02,2902.86,0.2
231,1,0.0056,2.1085e+02,7.2894e+00,0.13,2.9338e+01,11432.86,1.8569e+02,2903.35,0.2
