Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
179,1,0.0283,2.8393e+02,4.4767e+01,1.19,9.7844e+01,34654.74,1.2902e+02,2036.61,0.2
180,1,0.0267,2.8736e+02,4.6045e+01,1.17,9.8344e+01,34660.55,1.2949e+02,2038.51,0.2
181,1,0.0273,2.8475e+02,4.4544e+01,1.18,9.7938e+01,34633.56,1.2911e+02,2036.68,0.2
182,1,0.0293,2.8842e+02,4.6587e+01,1.17,9.8296e+01,34603.82,1.2946e+02,2037.57,0.2
183,1,0.0277,2.8498e+02,4.4863e+01,1.17,9.7984e+01,34702.40,1.2914e+02,2035.83,0.2
184,1,0.0273,2.8684e+02,4.5758e+01,1.18,9.8300e+01,34543.55,1.2948e+02,2041.24,0.2
185,1,0.0270,2.8519e+02,4.3867e+01,1.16,9.8007e+01,34611.04,1.2918e+02,2036.72,0.2
186,1,0.0261,2.8617e+02,4.4214e+01,1.15,9.8204e+01,34664.88,1.2937e+02,2038.44,0.2
187,1,0.0276,2.8644e+02,4.4844e+01,1.15,9.8154e+01,34615.03,1.2933e+02,2038.36,0.2
188,1,0.0287,2.8636e+02,4.4631e+01,1.15,9.8331e+01,34683.73,1.2949e+02,2041.25,0.2
189,1,0.0267,2.8490e+02,4.2941e+01,1.14,9.8105e+01,34608.28,1.2927e+02,2038.47,0.2
190,1,0.0254,2.8428e+02,4.4026e+01,1.16,9.7956e+01,34685.00,1.2910e+02,2034.50,0.2
191,1,0.0256,2.8479e+02,4.3037e+01,1.13,9.7983e+01,34587.17,1.2915e+02,2036.22,0.2
192,1,0.0261,2.8479e+02,4.2721e+01,1.13,9.8059e+01,34662.99,1.2923e+02,2038.55,0.2
193,1,0.0263,2.9188e+02,5.0421e+01,1.18,9.8633e+01,34506.33,1.2980e+02,2042.15,0.2
194,1,0.0275,2.8588e+02,4.4373e+01,1.14,9.7994e+01,34636.28,1.2915e+02,2034.16,0.2
195,1,0.0257,2.8395e+02,4.5177e+01,1.16,9.7911e+01,34736.64,1.2906e+02,2034.78,0.2
196,1,0.0271,2.8699e+02,4.4491e+01,1.12,9.8449e+01,34651.40,1.2961e+02,2042.93,0.2
197,1,0.0256,2.8381e+02,4.2150e+01,1.13,9.7848e+01,34558.80,1.2903e+02,2036.99,0.2
198,1,0.0255,2.8441e+02,4.2600e+01,1.12,9.8103e+01,34669.87,1.2924e+02,2036.74,0.2
199,1,0.0252,2.8415e+02,4.1609e+01,1.10,9.8000e+01,34610.71,1.2917e+02,2038.07,0.2
200,1,0.0250,2.8818e+02,4.5257e+01,1.11,9.8356e+01,34563.11,1.2954e+02,2040.88,0.2
201,1,0.0252,2.8422e+02,4.2868e+01,1.12,9.7832e+01,34560.70,1.2899e+02,2033.88,0.2
202,1,0.0270,2.8901e+02,4.7892e+01,1.17,9.8843e+01,34726.82,1.3000e+02,2047.27,0.2
203,1,0.0292,2.8556e+02,4.2620e+01,1.10,9.8076e+01,34565.80,1.2925e+02,2037.25,0.2
204,1,0.0257,2.8348e+02,4.0840e+01,1.07,9.7917e+01,34608.12,1.2908e+02,2036.66,0.2
205,1,0.0239,2.8374e+02,4.1069e+01,1.08,9.8021e+01,34642.71,1.2918e+02,2037.98,0.2
206,1,0.0243,2.8415e+02,4.2635e+01,1.09,9.7832e+01,34607.25,1.2898e+02,2032.73,0.2
207,1,0.0258,2.8440e+02,4.1783e+01,1.08,9.8213e+01,34681.88,1.2936e+02,2040.25,0.2
208,1,0.0274,2.8601e+02,4.4599e+01,1.14,9.8259e+01,34482.97,1.2945e+02,2042.17,0.2
209,1,0.0259,2.8746e+02,4.3657e+01,1.06,9.8361e+01,34614.97,1.2951e+02,2039.07,0.2
210,1,0.0244,2.8590e+02,4.2197e+01,1.06,9.8249e+01,34559.03,1.2942e+02,2040.36,0.2
211,1,0.0247,2.8283e+02,4.0466e+01,1.05,9.7810e+01,34610.68,1.2898e+02,2035.93,0.2
212,1,0.0274,2.8330e+02,4.0724e+01,1.05,9.7856e+01,34599.96,1.2901e+02,2034.60,0.2
213,1,0.0238,2.8700e+02,4.3247e+01,1.05,9.8350e+01,34562.53,1.2952e+02,2040.78,0.2
214,1,0.0236,2.8584e+02,4.1346e+01,1.04,9.8289e+01,34597.14,1.2945e+02,2040.43,0.2
215,1,0.0237,2.8655e+02,4.2252e+01,1.05,9.8268e+01,34534.66,1.2943e+02,2039.32,0.2
216,1,0.0236,2.8238e+02,4.2465e+01,1.09,9.7500e+01,34528.57,1.2866e+02,2031.05,0.2
217,1,0.0254,2.8668e+02,4.3438e+01,1.05,9.8557e+01,34640.55,1.2972e+02,2045.04,0.2
218,1,0.0245,2.8380e+02,3.9023e+01,1.02,9.8132e+01,34564.02,1.2930e+02,2039.92,0.2
219,1,0.0232,2.8343e+02,3.9037e+01,1.04,9.7950e+01,34510.32,1.2912e+02,2037.85,0.2
220,1,0.0233,2.8449e+02,3.9860e+01,1.02,9.8225e+01,34635.31,1.2938e+02,2040.03,0.2
221,1,0.0230,2.8653e+02,4.2254e+01,1.05,9.8281e+01,34524.90,1.2946e+02,2040.77,0.2
222,1,0.0243,2.8457e+02,4.0954e+01,1.06,9.8089e+01,34484.34,1.2928e+02,2041.03,0.2
223,1,0.0230,2.8246e+02,3.9079e+01,1.01,9.7802e+01,34601.11,1.2896e+02,2036.36,0.2
