Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
102,1,0.0567,3.1170e+02,6.5354e+01,1.79,1.4756e+02,35912.29,1.3042e+02,2037.00,0.3
103,1,0.0573,3.2582e+02,6.5801e+01,1.64,1.4955e+02,35699.68,1.3254e+02,2073.94,0.2
104,1,0.0593,3.5914e+02,7.3172e+01,1.37,1.5073e+02,36368.80,1.3376e+02,2074.04,0.3
105,1,0.0447,3.1029e+02,4.2830e+01,1.07,1.4928e+02,36360.06,1.3236e+02,2079.39,0.3
106,1,0.0495,3.0696e+02,6.0575e+01,1.48,1.5083e+02,36522.59,1.3397e+02,2107.15,0.2
107,1,0.0537,4.5853e+02,1.1294e+02,1.35,1.5262e+02,35946.11,1.3569e+02,2091.76,0.3
108,1,0.0688,2.9985e+02,4.6834e+01,1.44,1.4986e+02,36566.40,1.3290e+02,2084.48,0.3
109,1,0.0564,3.1738e+02,5.2588e+01,1.13,1.4984e+02,36391.48,1.3284e+02,2072.02,0.3
110,1,0.0480,3.4407e+02,7.6004e+01,1.29,1.5139e+02,36129.84,1.3453e+02,2106.68,0.2
111,1,0.0763,3.9357e+02,1.4233e+02,2.07,1.4400e+02,36679.23,1.2688e+02,2025.91,0.2
112,1,0.0723,3.4578e+02,7.2374e+01,1.51,1.5076e+02,36287.10,1.3388e+02,2084.69,0.3
113,1,0.0538,2.9767e+02,4.4689e+01,1.39,1.4898e+02,36894.08,1.3208e+02,2082.88,0.3
114,1,0.0541,3.1883e+02,8.0692e+01,1.69,1.4708e+02,36841.26,1.3010e+02,2057.19,0.3
115,1,0.0631,3.0800e+02,6.2661e+01,1.22,1.4669e+02,36133.07,1.2960e+02,2043.16,0.3
116,1,0.0600,3.8042e+02,1.0280e+02,1.65,1.5156e+02,35731.42,1.3465e+02,2098.81,0.3
117,1,0.0507,3.0577e+02,5.9242e+01,1.15,1.4710e+02,36424.87,1.3008e+02,2054.97,0.3
118,1,0.0388,3.1597e+02,4.9545e+01,1.24,1.4868e+02,36077.28,1.3163e+02,2060.52,0.3
119,1,0.0305,2.9884e+02,4.2377e+01,0.86,1.4743e+02,36403.22,1.3043e+02,2061.54,0.4
120,1,0.0338,2.9766e+02,3.4031e+01,1.00,1.4882e+02,36478.22,1.3187e+02,2071.35,0.4
121,1,0.0279,3.0617e+02,3.8608e+01,0.94,1.4996e+02,36474.95,1.3306e+02,2090.42,0.3
122,1,0.0254,3.1074e+02,3.8580e+01,0.80,1.4961e+02,36178.22,1.3266e+02,2081.59,0.2
123,1,0.0251,3.0151e+02,3.4672e+01,1.06,1.4834e+02,35833.36,1.3128e+02,2065.13,0.3
124,1,0.0270,3.0449e+02,3.5014e+01,0.83,1.4951e+02,36236.44,1.3260e+02,2087.53,0.2
125,1,0.0245,2.9649e+02,2.8798e+01,0.71,1.4826e+02,36277.22,1.3129e+02,2070.19,0.2
126,1,0.0276,2.9900e+02,2.8235e+01,0.74,1.4903e+02,36313.13,1.3210e+02,2079.30,0.2
127,1,0.0231,3.1456e+02,4.4852e+01,0.82,1.5020e+02,36421.42,1.3330e+02,2089.72,0.2
128,1,0.0294,2.9581e+02,3.3545e+01,0.88,1.4785e+02,35972.10,1.3079e+02,2061.91,0.3
129,1,0.0256,3.0035e+02,2.8363e+01,0.71,1.4884e+02,36157.81,1.3187e+02,2073.87,0.3
130,1,0.0260,2.9655e+02,3.3817e+01,0.89,1.4873e+02,36623.48,1.3182e+02,2080.18,0.3
131,1,0.0254,3.1156e+02,4.1587e+01,0.85,1.4941e+02,36170.95,1.3244e+02,2075.92,0.3
132,1,0.0419,3.1846e+02,4.9391e+01,1.13,1.5059e+02,36644.72,1.3372e+02,2094.66,0.2
133,1,0.0276,2.9623e+02,3.0803e+01,0.83,1.4789e+02,36042.59,1.3088e+02,2064.81,0.2
134,1,0.0434,3.1584e+02,4.8062e+01,1.19,1.4861e+02,35961.27,1.3157e+02,2066.59,0.2
135,1,0.0665,3.0523e+02,4.2069e+01,1.02,1.4881e+02,36104.38,1.3175e+02,2067.47,0.3
136,1,0.0473,3.0092e+02,4.4883e+01,1.26,1.4883e+02,36737.23,1.3197e+02,2085.47,0.2
137,1,0.0362,3.0998e+02,3.3592e+01,0.71,1.4924e+02,36159.97,1.3226e+02,2073.06,0.2
138,1,0.0221,2.9624e+02,2.3433e+01,0.67,1.4873e+02,36313.34,1.3176e+02,2075.81,0.2
139,1,0.0180,2.9847e+02,2.4798e+01,0.66,1.4889e+02,36310.13,1.3194e+02,2075.08,0.3
140,1,0.0175,2.9695e+02,2.3981e+01,0.66,1.4863e+02,36270.55,1.3165e+02,2073.92,0.2
141,1,0.0172,2.9825e+02,2.5690e+01,0.69,1.4861e+02,36238.44,1.3163e+02,2071.26,0.3
142,1,0.0176,3.0140e+02,2.7673e+01,0.66,1.4908e+02,36173.70,1.3211e+02,2076.79,0.3
143,1,0.0180,2.9802e+02,2.4829e+01,0.67,1.4856e+02,36124.90,1.3156e+02,2070.58,0.3
144,1,0.0174,2.9737e+02,2.3155e+01,0.63,1.4883e+02,36279.10,1.3187e+02,2076.65,0.3
145,1,0.0170,2.9593e+02,3.0200e+01,0.71,1.4804e+02,36306.19,1.3105e+02,2066.14,0.2
146,1,0.0220,2.9693e+02,2.7574e+01,0.77,1.4823e+02,36027.44,1.3121e+02,2066.42,0.2
147,1,0.0210,2.9962e+02,2.5049e+01,0.65,1.4898e+02,36319.53,1.3203e+02,2077.29,0.2
148,1,0.0180,2.9638e+02,2.4906e+01,0.68,1.4865e+02,36303.33,1.3169e+02,2075.11,0.2
149,1,0.0201,2.9878e+02,2.5805e+01,0.67,1.4858e+02,36124.04,1.3158e+02,2069.73,0.2
150,1,0.0191,3.0090e+02,2.7174e+01,0.67,1.4914e+02,36086.92,1.3216e+02,2078.26,0.2
151,1,0.0193,3.0048e+02,2.6390e+01,0.64,1.4922e+02,36232.78,1.3227e+02,2079.60,0.4
152,1,0.0188,2.9579e+02,2.4746e+01,0.72,1.4881e+02,36351.10,1.3187e+02,2079.85,0.3
153,1,0.0183,2.9575e+02,2.8227e+01,0.69,1.4823e+02,36316.11,1.3125e+02,2070.04,0.4
154,1,0.0195,3.0007e+02,2.5996e+01,0.69,1.4875e+02,36086.74,1.3175e+02,2071.85,0.3
155,1,0.0175,2.9668e+02,2.1746e+01,0.63,1.4868e+02,36134.84,1.3170e+02,2075.25,0.2
156,1,0.0183,2.9582e+02,2.9044e+01,0.73,1.4804e+02,36157.15,1.3103e+02,2063.90,0.3
157,1,0.0214,2.9557e+02,2.4560e+01,0.63,1.4834e+02,36226.66,1.3137e+02,2073.08,0.3
158,1,0.0182,3.0170e+02,2.9064e+01,0.72,1.4947e+02,36311.28,1.3255e+02,2084.30,0.2
159,1,0.0198,3.0083e+02,2.8433e+01,0.67,1.4927e+02,36244.40,1.3234e+02,2082.82,0.2
160,1,0.0184,2.9580e+02,2.5962e+01,0.66,1.4832e+02,36236.02,1.3135e+02,2072.43,0.3
161,1,0.0184,2.9585e+02,2.8768e+01,0.74,1.4807e+02,36141.36,1.3106e+02,2063.53,0.2
162,1,0.0200,2.9570e+02,2.4012e+01,0.66,1.4836e+02,36117.87,1.3136e+02,2070.28,0.2
163,1,0.0185,2.9897e+02,2.5601e+01,0.64,1.4903e+02,36262.13,1.3208e+02,2077.93,0.2
164,1,0.0158,2.9658e+02,2.2550e+01,0.62,1.4861e+02,36189.92,1.3163e+02,2073.34,0.2
165,1,0.0160,2.9805e+02,2.3247e+01,0.64,1.4885e+02,36108.74,1.3188e+02,2076.54,0.2
166,1,0.0158,2.9763e+02,2.3768e+01,0.64,1.4873e+02,36190.34,1.3177e+02,2075.28,0.3
167,1,0.0155,2.9726e+02,2.2346e+01,0.63,1.4901e+02,36284.22,1.3207e+02,2080.55,0.3
168,1,0.0152,2.9801e+02,2.2167e+01,0.61,1.4887e+02,36175.16,1.3190e+02,2076.67,0.3
169,1,0.0146,2.9751e+02,2.1703e+01,0.60,1.4890e+02,36241.49,1.3195e+02,2077.86,0.3
170,1,0.0143,2.9655e+02,2.0586e+01,0.59,1.4872e+02,36179.21,1.3175e+02,2075.60,0.2
171,1,0.0143,2.9745e+02,2.1037e+01,0.59,1.4888e+02,36211.98,1.3192e+02,2076.90,0.2
172,1,0.0146,2.9643e+02,2.0311e+01,0.59,1.4876e+02,36189.54,1.3179e+02,2076.77,0.2
173,1,0.0141,2.9794e+02,2.1939e+01,0.59,1.4890e+02,36171.55,1.3194e+02,2076.72,0.2
174,1,0.0143,2.9794e+02,2.2671e+01,0.62,1.4908e+02,36248.06,1.3213e+02,2080.63,0.2
175,1,0.0148,2.9716e+02,2.0807e+01,0.59,1.4884e+02,36166.64,1.3187e+02,2077.10,0.2
176,1,0.0143,2.9736e+02,2.1045e+01,0.60,1.4892e+02,36258.36,1.3196e+02,2077.41,0.3
177,1,0.0150,2.9675e+02,2.0912e+01,0.61,1.4874e+02,36108.12,1.3177e+02,2076.52,0.2
178,1,0.0151,2.9983e+02,2.4508e+01,0.64,1.4925e+02,36299.39,1.3231e+02,2080.61,0.2
179,1,0.0161,2.9609e+02,2.0159e+01,0.58,1.4870e+02,36171.64,1.3173e+02,2075.63,0.2
180,1,0.0152,2.9640e+02,2.0081e+01,0.59,1.4886e+02,36211.75,1.3190e+02,2077.58,0.2
181,1,0.0154,2.9576e+02,2.0264e+01,0.59,1.4853e+02,36161.83,1.3155e+02,2072.29,0.2
182,1,0.0143,2.9603e+02,2.0539e+01,0.60,1.4854e+02,36162.42,1.3156e+02,2072.86,0.2
183,1,0.0139,2.9630e+02,1.9614e+01,0.58,1.4874e+02,36202.86,1.3178e+02,2076.03,0.3
184,1,0.0136,2.9602e+02,1.9485e+01,0.58,1.4870e+02,36168.19,1.3173e+02,2075.66,0.3
185,1,0.0141,2.9590e+02,2.0146e+01,0.58,1.4871e+02,36223.41,1.3175e+02,2076.51,0.2
186,1,0.0144,2.9711e+02,2.0911e+01,0.61,1.4877e+02,36153.03,1.3180e+02,2075.52,0.2
