Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
113,1,0.1683,6.0044e+02,3.0576e+02,5.39,3.6294e+01,14170.87,3.4994e+01,521.33,0.2
114,1,0.1526,2.8611e+02,1.5326e+02,4.78,3.6982e+01,14581.82,3.3278e+01,504.97,0.2
115,1,0.1558,2.8370e+02,1.5847e+02,4.39,3.4844e+01,14214.43,3.3931e+01,513.21,0.2
116,1,0.1275,2.4552e+02,1.5907e+02,4.95,3.5036e+01,13342.20,3.2479e+01,485.81,0.2
117,1,0.1306,2.9565e+02,1.3678e+02,4.03,3.6741e+01,14432.49,3.3094e+01,502.04,0.2
118,1,0.1234,2.5051e+02,1.3807e+02,4.25,3.5237e+01,13625.18,3.3225e+01,503.01,0.2
119,1,0.1707,2.9574e+02,1.7330e+02,5.96,3.5029e+01,13237.18,3.2371e+01,489.44,0.2
120,1,0.1523,3.6810e+02,2.2156e+02,5.38,3.7435e+01,14727.27,3.2527e+01,491.48,0.2
121,1,0.1655,2.7102e+02,1.8245e+02,6.01,3.3739e+01,13507.70,3.3097e+01,501.07,0.2
122,1,0.1618,2.7021e+02,1.5338e+02,4.75,3.6289e+01,14312.02,3.3552e+01,514.60,0.2
123,1,0.1711,3.1468e+02,1.5706e+02,4.14,3.6278e+01,14127.63,3.2583e+01,494.63,0.2
124,1,0.1124,3.0104e+02,1.5438e+02,4.32,3.4119e+01,13637.82,3.3542e+01,503.83,0.2
125,1,0.0993,2.4569e+02,1.1417e+02,3.70,3.6122e+01,14528.36,3.3127e+01,501.77,0.2
126,1,0.0847,2.3322e+02,9.8879e+01,3.39,3.5958e+01,14100.29,3.3345e+01,503.20,0.2
127,1,0.0822,2.7280e+02,1.0766e+02,3.21,3.5196e+01,14051.93,3.3616e+01,504.75,0.2
128,1,0.0850,2.5152e+02,1.0439e+02,3.17,3.6065e+01,14146.66,3.3042e+01,498.62,0.2
129,1,0.0743,2.6064e+02,1.1975e+02,3.42,3.5294e+01,13912.08,3.3883e+01,512.27,0.2
130,1,0.0822,2.3066e+02,1.0969e+02,3.96,3.6382e+01,14379.86,3.3864e+01,514.95,0.2
131,1,0.0810,2.3214e+02,9.1356e+01,3.00,3.5785e+01,14099.97,3.3456e+01,509.00,0.2
132,1,0.0712,2.4503e+02,9.9552e+01,3.01,3.5005e+01,13880.00,3.3575e+01,504.54,0.2
